규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,대구  Daegu,,인천  Incheon,,광주  Gwangju,,대전  Daejeon,,울산  Ulsan,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,경기  Gyeonggi,,,,강원  Gangwon,,충북  Chungbuk,,충남  Chungnam,,전북  Jeonbuk,,전남  Jeonnam,,경북  Gyungbuk,,경남  Gyungnam,,기타지방 Non Metropolitan Area,,,
11,"16,326","18,404","13,398","10,015","26,270","31,576","26,931","14,476","21,961","26,065","23,136","13,245","30,508","36,200","32,918","15,763","12,383","14,569","9,131","6,519","12,352","15,097","14,220","16,643","11,154","13,493","10,848","12,480","12,432","14,182","13,881","14,888","12,746","14,859","8,722","7,218","20,383","22,753","22,514","11,030","8,310","10,497","17,794","19,118","19,545","8,803","8,628","9,449","10,015","11,471","10,926","12,904","8,868","10,495","6,825","8,006","9,602","11,863","12,256","13,364","9,945","11,575","7,128","5,766"
12,"16,449","18,563","13,430","10,081","26,478","31,864","26,998","14,597","22,074","26,209","23,174","13,350","30,810","36,608","33,033","15,900","12,452","14,657","9,162","6,553","12,391","15,158","14,406","16,860","11,219","13,577","10,904","12,550","12,430","14,180","13,920","14,939","12,817","14,948","8,746","7,265","20,559","22,982","22,567","11,105","8,366","10,611","17,973","19,342","19,573","8,843","8,622","9,447","10,046","11,525","10,972","12,962","8,876","10,505","6,861","7,999","9,753","12,090","12,300","13,422","9,994","11,638","7,144","5,787"
'15.1,"16,560","18,705","13,453","10,145","26,672","32,135","27,049","14,711","22,216","26,410","23,203","13,463","31,054","36,938","33,118","16,015","12,562","14,805","9,196","6,584","12,465","15,268","14,668","17,192","11,294","13,685","11,062","12,744","12,439","14,190","13,963","15,005","12,937","15,107","8,785","7,298","20,706","23,168","22,606","11,180","8,375","10,629","18,099","19,491","19,606","8,884","8,636","9,456","10,061","11,548","11,010","12,970","8,881","10,507","6,874","8,021","9,718","12,034","12,280","13,453","9,999","11,648","7,136","5,803"
2,"16,720","18,916","13,503","10,199","27,001","32,631","27,187","14,793","22,398","26,684","23,291","13,535","31,527","37,622","33,333","16,107","12,667","14,946","9,227","6,623","12,531","15,353","14,891","17,471","11,441","13,905","11,146","12,850","12,440","14,196","13,989","15,045","13,030","15,226","8,816","7,350","20,941","23,486","22,697","11,240","8,497","10,874","18,276","19,715","19,655","8,931","8,670","9,515","10,106","11,582","11,020","12,978","8,889","10,517","6,917","8,079","9,791","12,140","12,316","13,498","10,042","11,700","7,156","5,816"
3,"16,920","19,185","13,539","10,291","27,401","33,228","27,306","14,941","22,685","27,098","23,439","13,677","32,039","38,371","33,406","16,262","12,816","15,151","9,257","6,667","12,597","15,449","15,303","17,998","11,596","14,128","11,298","13,032","12,446","14,201","13,986","15,132","13,177","15,427","8,845","7,393","21,225","23,864","22,793","11,345","8,708","11,294","18,492","19,987","19,736","9,004","8,726","9,579","10,127","11,607","11,052","13,007","8,914","10,550","6,922","8,087","9,790","12,313","12,409","13,589","10,086","11,771","7,130","5,876"
4,"17,113","19,431","13,638","10,367","27,726","33,696","27,516","15,029","22,929","27,410","23,719","13,768","32,444","38,970","33,507","16,348","12,958","15,324","9,355","6,720","12,677","15,557","15,630","18,326","11,751","14,364","11,441","13,211","12,455","14,213","14,048","15,207","13,314","15,583","8,952","7,467","21,490","24,215","22,960","11,420","8,717","11,318","18,735","20,287","19,886","9,084","8,756","9,634","10,152","11,626","11,068","13,023","8,924","10,565","6,935","8,099","9,902","12,496","12,565","13,772","10,156","11,857","7,146","5,961"
5,"17,256","19,610","13,695","10,451","28,032","34,111","27,641","15,209","23,138","27,688","23,816","13,921","32,846","39,501","33,676","16,555","13,041","15,437","9,386","6,738","12,743","15,653","15,754","18,478","11,862","14,529","11,575","13,375","12,459","14,220","14,057","15,219","13,390","15,681","8,980","7,493","21,704","24,488","23,065","11,520","8,719","11,321","18,898","20,492","19,977","9,118","8,864","9,684","10,165","11,626","11,072","13,036","8,973","10,611","6,928","8,100","9,935","12,545","12,599","13,818","10,192","11,895","7,174","6,006"
6,"17,446","19,868","13,733","10,520","28,390","34,649","27,737","15,338","23,407","28,106","23,852","14,073","33,291","40,139","33,867","16,660","13,170","15,614","9,422","6,763","12,855","15,813","15,917","18,671","12,032","14,800","11,752","13,600","12,457","14,218","14,160","15,357","13,506","15,833","9,020","7,536","21,985","24,874","23,113","11,600","8,791","11,466","19,141","20,805","19,977","9,166","9,032","9,901","10,187","11,650","11,044","13,006","9,019","10,658","6,966","8,124","9,991","12,631","12,634","13,881","10,232","11,953","7,199","6,014"
7,"17,645","20,120","13,822","10,608","28,788","35,208","27,972","15,485","23,721","28,526","24,082","14,245","33,770","40,815","34,110","16,781","13,290","15,767","9,487","6,804","12,901","15,887","16,150","18,985","12,191","15,029","11,863","13,733","12,473","14,226","14,328","15,431","13,615","15,966","9,086","7,576","22,284","25,259","23,271","11,706","8,777","11,439","19,394","21,112","20,066","9,246","9,078","9,914","10,231","11,701","11,073","13,046","9,042","10,687","6,977","8,153","10,063","12,742","12,677","13,949","10,277","12,009","7,230","6,023"
8,"17,819","20,350","13,871","10,674","29,168","35,763","28,144","15,617","23,982","28,895","24,239","14,373","34,269","41,526","34,305","16,918","13,409","15,938","9,490","6,835","13,000","16,030","16,338","19,229","12,379","15,314","11,992","13,893","12,493","14,240","14,286","15,489","13,714","16,107","9,082","7,616","22,544","25,605","23,363","11,783","8,777","11,439","19,567","21,335","20,068","9,273","9,173","10,009","10,291","11,715","11,056","13,039","9,048","10,695","7,025","8,223","10,093","12,762","12,723","14,015","10,313","12,048","7,275","6,035"
9,"18,056","20,669","13,935","10,743","29,599","36,420","28,306","15,724","24,307","29,438","24,361","14,425","34,804","42,278","34,531","17,081","13,551","16,126","9,547","6,878","13,109","16,160","16,436","19,348","12,632","15,701","12,082","13,986","12,577","14,355","14,489","15,766","13,823","16,240","9,141","7,666","22,912","26,114","23,455","11,861","8,774","11,433","19,910","21,775","20,088","9,333","9,374","10,111","10,318","11,739","11,062","13,054","9,075","10,736","7,048","8,244","10,162","12,868","12,757","14,089","10,359","12,105","7,313","6,059"
10,"18,241","20,899","14,022","10,837","29,933","36,861","28,577","15,864","24,563","29,803","24,498","14,559","35,214","42,783","35,013","17,228","13,703","16,324","9,624","6,915","13,247","16,345","16,695","19,680","12,795","15,937","12,194","14,099","12,628","14,410","14,611","15,947","13,972","16,428","9,222","7,701","23,175","26,443","23,613","11,976","8,774","11,433","20,140","22,052","20,134","9,448","9,448","10,197","10,337","11,757","11,077","13,074","9,086","10,749","7,070","8,275","10,191","12,901","12,786","14,114","10,385","12,135","7,326","6,070"
11,"18,454","21,179","14,101","10,904","30,349","37,471","28,841","15,957","24,884","30,242","24,805","14,663","35,724","43,537","35,209","17,308","13,835","16,511","9,644","6,938","13,390","16,568","16,774","19,780","13,014","16,276","12,262","14,179","12,683","14,485","14,793","16,194","14,078","16,575","9,239","7,730","23,492","26,868","23,765","12,052","8,908","11,696","20,397","22,376","20,175","9,532","9,527","10,270","10,361","11,779","11,110","13,111","9,139","10,789","7,144","8,410","10,239","12,967","12,824","14,194","10,448","12,206","7,375","6,121"
12,"18,579","21,343","14,148","10,952","30,569","37,800","28,894","16,044","25,068","30,547","24,816","14,738","35,980","43,886","35,328","17,408","13,916","16,615","9,688","6,960","13,494","16,702","16,860","19,898","13,097","16,397","12,306","14,209","12,743","14,566","14,860","16,285","14,159","16,674","9,288","7,749","23,664","27,109","23,791","12,103","8,980","11,839","20,550","22,587","20,174","9,542","9,563","10,315","10,381","11,797","11,120","13,127","9,188","10,797","7,163","8,439","10,243","12,973","12,881","14,263","10,505","12,250","7,443","6,202"
'16.1,"19,731","22,386","15,012","11,381","32,037","39,741","29,484","16,565","26,295","32,064","25,592","15,341","37,718","46,277","35,625","17,845","15,332","18,144","10,661","7,369","14,441","17,593","18,400","21,523","14,515","18,097","14,688","16,730","13,958","15,805","16,389","17,955","15,574","18,157","10,351","8,128","24,833","28,414","24,230","12,576","11,751","14,467","21,616","23,742","20,471","9,962","10,509","11,511","11,119","12,451","12,663","14,374","11,205","12,916","9,035","10,559","11,490","13,451","14,115","15,287","11,913","13,544","8,816","6,344"
2,"19,845","22,521","15,085","11,442","32,267","39,996","29,758","16,710","26,512","32,295","25,890","15,471","37,960","46,553","35,862","18,006","15,412","18,249","10,700","7,380","14,547","17,747","18,414","21,543","14,644","18,270","14,723","16,762","14,026","15,882","16,479","18,083","15,640","18,243","10,380","8,122","24,997","28,609","24,383","12,655","12,110","14,994","21,733","23,903","20,485","9,972","10,651","11,708","11,136","12,471","12,658","14,368","11,221","12,929","9,087","10,621","11,476","13,429","14,169","15,350","11,960","13,601","8,839","6,365"
3,"19,949","22,647","15,135","11,497","32,451","40,244","29,858","16,807","26,747","32,619","26,035","15,594","38,094","46,735","35,889","18,074","15,493","18,350","10,747","7,405","14,681","17,923","18,386","21,503","14,783","18,454","14,749","16,782","14,096","15,965","16,569","18,219","15,703","18,321","10,425","8,120","25,141","28,785","24,463","12,724","12,797","16,009","21,845","24,034","20,545","10,008","10,723","11,806","11,170","12,515","12,672","14,429","11,225","12,934","9,113","10,654","11,473","13,419","14,229","15,411","12,011","13,664","8,858","6,399"
4,"20,032","22,738","15,193","11,563","32,596","40,408","30,005","16,905","26,934","32,844","26,235","15,695","38,197","46,849","35,954","18,170","15,564","18,426","10,804","7,468","14,821","18,107","18,348","21,442","14,879","18,539","14,775","16,793","14,147","16,035","16,692","18,371","15,767","18,395","10,476","8,138","25,256","28,913","24,574","12,803","12,914","16,185","21,939","24,147","20,615","10,038","10,807","11,898","11,187","12,527","12,680","14,440","11,239","12,954","9,146","10,705","11,450","13,386","14,269","15,433","12,037","13,693","8,865","6,444"
5,"20,136","22,866","15,237","11,617","32,788","40,676","30,140","16,965","27,164","33,175","26,403","15,770","38,351","47,062","36,037","18,215","15,619","18,495","10,835","7,514","14,960","18,312","18,245","21,296","14,977","18,651","14,809","16,833","14,196","16,096","16,753","18,463","15,810","18,452","10,506","8,152","25,409","29,100","24,666","12,871","13,083","16,437","22,074","24,303","20,666","10,109","11,041","12,203","11,251","12,610","12,709","14,468","11,277","13,001","9,196","10,773","11,431","13,380","14,327","15,482","12,092","13,763","8,870","6,442"
6,"20,228","22,963","15,319","11,670","32,999","40,945","30,344","17,054","27,398","33,473","26,635","15,879","38,540","47,307","36,195","18,282","15,679","18,566","10,882","7,527","15,051","18,437","18,218","21,251","15,077","18,788","14,872","16,904","14,275","16,162","16,759","18,478","15,857","18,506","10,551","8,157","25,549","29,254","24,843","12,929","13,133","16,510","22,164","24,388","20,837","10,141","11,078","12,246","11,253","12,613","12,728","14,479","11,293","13,023","9,239","10,835","11,378","13,310","14,364","15,519","12,115","13,782","8,879","6,537"
7,"20,328","23,063","15,403","11,765","33,196","41,157","30,570","17,198","27,635","33,732","26,917","16,039","38,697","47,479","36,334","18,409","15,733","18,628","10,907","7,576","15,167","18,590","18,116","21,099","15,211","18,951","14,940","16,988","14,316","16,219","16,739","18,468","15,887","18,540","10,569","8,175","25,713","29,423","25,015","13,049","13,212","16,627","22,308","24,531","20,966","10,245","11,137","12,295","11,267","12,622","12,712","14,454","11,315","13,043","9,277","10,866","11,356","13,273","14,374","15,534","12,138","13,797","8,921","6,543"
8,"20,409","23,139","15,501","11,828","33,315","41,271","30,774","17,279","27,852","33,973","27,209","16,156","38,720","47,485","36,399","18,453","15,799","18,698","10,962","7,639","15,264","18,714","18,065","21,023","15,333","19,075","15,018","17,049","14,415","16,346","16,761","18,500","15,938","18,596","10,611","8,206","25,822","29,525","25,213","13,122","13,530","17,101","22,404","24,620","21,166","10,293","11,287","12,463","11,323","12,637","12,729","14,422","11,319","13,048","9,306","10,888","11,347","13,263","14,419","15,575","12,185","13,839","8,954","6,562"
9,"20,494","23,219","15,610","11,899","33,494","41,444","31,045","17,414","28,091","34,173","27,605","16,358","38,839","47,635","36,474","18,519","15,844","18,740","11,016","7,680","15,357","18,809","18,028","20,965","15,414","19,163","15,042","17,077","14,450","16,391","16,770","18,518","15,971","18,626","10,656","8,234","25,944","29,647","25,382","13,211","13,655","17,286","22,489","24,718","21,222","10,333","11,477","12,632","11,362","12,659","12,773","14,455","11,367","13,085","9,320","10,907","11,349","13,306","14,433","15,582","12,237","13,881","9,050","6,557"
10,"20,639","23,376","15,741","11,978","33,747","41,712","31,454","17,541","28,432","34,515","28,191","16,520","39,005","47,840","36,602","18,608","15,961","18,889","11,058","7,742","15,560","19,065","18,043","20,977","15,605","19,430","15,094","17,141","14,540","16,514","16,774","18,529","16,067","18,743","10,699","8,299","26,155","29,878","25,669","13,298","13,664","17,299","22,670","24,918","21,420","10,379","11,651","12,829","11,398","12,673","12,788","14,447","11,386","13,108","9,374","10,973","11,325","13,286","14,478","15,620","12,277","13,916","9,086","6,584"
11,"20,763","23,520","15,822","12,030","33,936","41,947","31,649","17,624","28,617","34,707","28,449","16,639","39,197","48,111","36,699","18,653","16,076","19,037","11,123","7,755","15,741","19,311","18,057","20,992","15,710","19,577","15,241","17,275","14,704","16,736","16,814","18,596","16,185","18,890","10,761","8,311","26,311","30,066","25,787","13,361","13,712","17,370","22,813","25,087","21,453","10,437","11,847","13,055","11,417","12,687","12,780","14,437","11,445","13,157","9,419","11,024","11,311","13,272","14,510","15,653","12,326","13,959","9,140","6,603"
12,"20,825","23,592","15,862","12,068","34,030","42,051","31,739","17,699","28,685","34,783","28,515","16,695","39,317","48,240","36,827","18,749","16,137","19,109","11,179","7,759","15,848","19,446","18,093","21,012","15,750","19,632","15,281","17,323","14,786","16,848","16,838","18,629","16,252","18,968","10,820","8,317","26,386","30,152","25,850","13,408","13,694","17,344","22,880","25,168","21,487","10,466","11,955","13,188","11,406","12,694","12,743","14,381","11,474","13,187","9,487","11,115","11,321","13,325","14,554","15,689","12,353","13,995","9,142","6,618"
'17.1,"20,899","23,669","15,927","12,107","34,129","42,153","31,857","17,782","28,745","34,825","28,665","16,722","39,457","48,392","36,895","18,890","16,224","19,218","11,242","7,762","16,022","19,655","18,097","21,014","15,839","19,762","15,295","17,342","14,873","16,967","16,926","18,746","16,338","19,071","10,885","8,318","26,477","30,248","25,969","13,460","13,666","17,301","22,966","25,252","21,626","10,496","12,080","13,331","11,417","12,708","12,726","14,355","11,483","13,196","9,516","11,166","11,310","13,302","14,566","15,667","12,369","14,004","9,147","6,615"
2,"20,945","23,719","15,969","12,125","34,168","42,204","31,895","17,795","28,773","34,867","28,692","16,727","39,505","48,451","36,949","18,911","16,274","19,287","11,251","7,770","16,104","19,771","18,105","21,032","15,910","19,866","15,307","17,354","14,928","17,042","16,955","18,782","16,381","19,130","10,891","8,325","26,533","30,308","26,039","13,480","13,367","16,857","23,030","25,308","21,745","10,533","12,166","13,454","11,420","12,713","12,685","14,304","11,529","13,254","9,649","11,345","11,298","13,274","14,639","15,680","12,397","14,023","9,189","6,626"
3,"21,001","23,775","16,021","12,172","34,252","42,302","31,977","17,850","28,845","34,926","28,806","16,792","39,601","48,581","36,981","18,955","16,331","19,349","11,315","7,810","16,210","19,871","18,119","21,051","15,938","19,903","15,393","17,459","14,958","17,081","17,036","18,855","16,448","19,199","10,958","8,397","26,600","30,381","26,111","13,526","12,969","16,265","23,094","25,373","21,811","10,588","12,240","13,541","11,434","12,734","12,678","14,292","11,574","13,298","9,715","11,438","11,288","13,245","14,669","15,683","12,412","14,029","9,208","6,642"
4,"21,043","23,813","16,068","12,214","34,371","42,439","32,126","17,907","28,925","35,012","28,878","16,866","39,758","48,763","37,252","18,996","16,375","19,397","11,361","7,825","16,279","19,951","18,156","21,083","15,984","19,967","15,423","17,492","14,964","17,090","17,086","18,888","16,491","19,243","11,009","8,413","26,663","30,446","26,168","13,577","12,126","15,012","23,115","25,394","21,767","10,647","12,372","13,634","11,443","12,744","12,592","14,187","11,599","13,333","9,732","11,456","11,327","13,283","14,668","15,658","12,402","14,002","9,241","6,648"
5,"21,084","23,856","16,102","12,240","34,498","42,619","32,214","17,946","29,004","35,098","28,994","16,906","39,934","49,022","37,295","19,032","16,394","19,419","11,378","7,828","16,315","20,006","18,142","21,062","16,043","20,042","15,440","17,507","14,918","17,027","17,099","18,910","16,498","19,250","11,017","8,409","26,744","30,542","26,241","13,608","11,573","14,192","23,163","25,442","21,819","10,678","12,445","13,686","11,437","12,736","12,564","14,141","11,628","13,363","9,756","11,484","11,303","13,246","14,607","15,576","12,382","13,962","9,253","6,684"
6,"21,144","23,914","16,150","12,291","34,706","42,869","32,408","18,065","29,140","35,250","29,176","16,975","40,212","49,356","37,507","19,205","16,428","19,454","11,415","7,845","16,372","20,048","18,126","21,060","16,105","20,133","15,469","17,539","14,916","17,025","17,157","18,926","16,524","19,271","11,053","8,442","26,853","30,665","26,346","13,669","11,411","13,951","23,200","25,491","21,831","10,687","12,462","13,709","11,442","12,738","12,559","14,134","11,644","13,376","9,806","11,546","11,291","13,236","14,500","15,413","12,360","13,921","9,250","6,681"
7,"21,199","23,969","16,194","12,337","34,898","43,128","32,551","18,139","29,266","35,413","29,257","17,060","40,469","49,697","37,747","19,267","16,449","19,472","11,447","7,863","16,386","20,066","18,137","21,072","16,137","20,176","15,485","17,555","14,938","17,050","17,190","18,893","16,541","19,282","11,086","8,465","26,955","30,782","26,428","13,722","11,397","13,930","23,243","25,537","21,853","10,732","12,486","13,741","11,441","12,736","12,554","14,111","11,665","13,385","9,898","11,666","11,277","13,223","14,377","15,238","12,346","13,884","9,260","6,692"
8,"21,252","24,032","16,211","12,370","35,077","43,409","32,602","18,173","29,361","35,561","29,326","17,070","40,732","50,090","37,771","19,326","16,479","19,506","11,458","7,904","16,410","20,083","18,198","21,157","16,195","20,235","15,506","17,582","14,943","17,056","17,151","18,848","16,564","19,309","11,096","8,487","27,051","30,908","26,464","13,757","11,377","13,901","23,279","25,582","21,875","10,752","12,504","13,772","11,444","12,740","12,544","14,095","11,675","13,392","9,941","11,710","11,226","13,134","14,278","15,113","12,326","13,844","9,262","6,741"
9,"21,284","24,063","16,232","12,396","35,149","43,494","32,670","18,218","29,443","35,671","29,395","17,104","40,795","50,154","37,837","19,383","16,508","19,542","11,471","7,920","16,435","20,112","18,224","21,190","16,223","20,265","15,557","17,645","14,974","17,099","17,167","18,870","16,593","19,346","11,109","8,491","27,101","30,963","26,501","13,790","11,384","13,911","23,315","25,624","21,879","10,773","12,533","13,854","11,444","12,739","12,514","14,053","11,695","13,403","9,946","11,717","11,200","13,098","14,223","15,014","12,314","13,819","9,273","6,731"
10,"21,316","24,097","16,251","12,421","35,246","43,629","32,698","18,270","29,517","35,788","29,412","17,134","40,914","50,305","37,885","19,457","16,538","19,573","11,502","7,936","16,434","20,101","18,313","21,309","16,255","20,296","15,600","17,679","15,008","17,126","17,127","18,837","16,621","19,377","11,138","8,496","27,151","31,023","26,524","13,823","11,620","14,261","23,331","25,644","21,890","10,780","12,576","13,902","11,440","12,728","12,491","14,025","11,709","13,415","9,976","11,733","11,196","13,083","14,135","14,909","12,305","13,798","9,280","6,728"
11,"21,366","24,157","16,276","12,438","35,453","43,943","32,769","18,323","29,612","35,948","29,474","17,122","41,231","50,749","37,967","19,578","16,563","19,602","11,534","7,935","16,441","20,099","18,347","21,349","16,276","20,323","15,724","17,836","15,048","17,163","17,043","18,724","16,648","19,406","11,167","8,497","27,239","31,135","26,570","13,846","11,689","14,363","23,333","25,649","21,904","10,772","12,580","13,910","11,437","12,721","12,453","13,971","11,730","13,439","10,066","11,854","11,179","13,063","14,046","14,802","12,292","13,776","9,278","6,718"
12,"21,396","24,179","16,316","12,474","35,572","44,076","32,888","18,410","29,676","36,008","29,597","17,154","41,404","50,946","38,081","19,722","16,573","19,609","11,569","7,935","16,448","20,100","18,376","21,383","16,280","20,312","15,750","17,866","15,085","17,215","16,979","18,639","16,660","19,419","11,187","8,506","27,292","31,177","26,669","13,891","11,691","14,367","23,344","25,646","21,964","10,788","12,613","13,954","11,436","12,709","12,434","13,950","11,760","13,477","10,115","11,920","11,181","13,059","13,970","14,721","12,285","13,764","9,271","6,712"
'18.1,"21,453","24,245","16,326","12,511","35,815","44,456","32,931","18,471","29,756","36,127","29,596","17,214","41,808","51,547","38,194","19,786","16,575","19,606","11,583","7,944","16,440","20,071","18,404","21,423","16,258","20,270","15,783","17,904","15,165","17,323","16,867","18,496","16,669","19,427","11,202","8,509","27,396","31,307","26,685","13,941","11,708","14,392","23,365","25,660","21,951","10,838","12,616","13,992","11,466","12,738","12,413","13,924","11,775","13,498","10,150","11,961","11,182","13,053","13,923","14,635","12,281","13,750","9,271","6,695"
2,"21,479","24,270","16,348","12,530","35,931","44,613","33,020","18,516","29,834","36,224","29,696","17,237","41,964","51,755","38,265","19,853","16,573","19,597","11,593","7,962","16,425","20,044","18,434","21,431","16,238","20,244","15,808","17,935","15,183","17,349","16,814","18,425","16,672","19,422","11,211","8,557","27,445","31,361","26,730","13,959","11,678","14,348","23,374","25,668","21,950","10,834","12,628","14,007","11,469","12,727","12,407","13,916","11,787","13,504","10,161","11,973","11,175","13,043","13,891","14,608","12,276","13,742","9,277","6,674"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,※ 2016년 1월부터 개편된 표본으로 조사되었으므로 자료활용 시에 참고하시기 바랍니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"수도권: 서울, 경기, 인천",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"6개광역시: 부산, 대구, 인천, 광주, 대전, 울산",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5개광역시: 부산, 대구, 광주, 대전, 울산 (인천을 제외한 광역시)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기타지방: 수도권과 광역시를 제외한 지역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
